0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,4,3,2,0,0,1,1,0,0,1,0,1,19,2,0,2,0,0,1,3,0,1,0,1,1,0,0,0,1,9,0,0,1,0,0,3,5,3,1,0,1,1,0,0,7,0,7,1,0,2,0,0,3,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,0,0,1,7,1,0,2,0,14,0,8,0,0,1,0,0,0,3,0,0,0,1,0,6,0,0,0,9,0,0,0,0,0,0,0,16,12,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,2,0,3,1,0,0,0,0,6,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,3,0,0,2,0,1,0,1,0,0,1,0,0,0,1
12,0,0,2,0,3,1,1,0,1,0,1,2,0,3,0,0,0,13,3,0,0,0,0,5,0,0,0,0,2,0,1,0,0,1,0,1,2,0,2,0,0,0,5,8,1,3,0,0,3,4,1,0,2,1,0,4,3,5,1,0,0,45,1,2,3,0,0,1,0,4,1,0,19,1,1,0,0,0,4,0,0,0,0,1,7,0,0,28,2,3,1,0,0,1,0,3,1,5,1,1,0,0,0,1
3,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,0,0,1,0,0,0,7,0,0,0,1,0,1,19,1,0,0,3,0,0,0,1,0,0,1,2,9,0,0,4,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
8,0,0,0,7,0,0,0,0,4,0,1,1,0,1,0,0,0,4,1,0,0,0,1,3,0,0,1,11,0,0,2,0,0,1,3,4,1,0,0,0,0,0,0,1,1,3,1,1,2,1,0,0,0,0,0,0,10,0,4,0,1,0,1,0,1,0,0,0,0,0,0,8,4,0,8,0,0,0,3,0,15,1,0,0,29,0,0,0,3,2,1,0,1,8,2,0,0,3,0,1,0,0,0,1
56,0,0,25,54,0,0,6,3,6,0,8,1,48,1,2,22,0,12,0,0,2,4,14,3,0,0,3,33,35,0,2,4,0,3,0,25,16,13,5,0,2,0,12,4,11,2,0,0,4,12,22,0,38,0,7,3,48,9,17,3,0,2,0,12,2,2,0,1,3,4,9,0,3,0,2,1,22,0,3,2,9,4,8,3,72,1,0,10,0,26,4,0,17,18,1,8,25,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,5,8,0,0,0,5,1,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,2,0,1,4,0,0,0,3,1,0,0,2,0,2,1,0,0,2,9,0,0,0,1,0,3,0,0,0,0,3,2,2,0,0,0,8,0,0,0,1,0,3,0,1,0,2,0,3,1,0,3,10,0,0,1,0,0,1,0
